Region Rank	Rank	Name	Rating
13	21	Nik	1759.844
30	201	Mava	1734.148
32	206	Mirko	1733.361
39	233	Mr.PokEnjoy	1727.376
40	238	Ivan	1725.27
49	260	Lorenzaooooo	1717.902
51	263	♂DARIUS♂	1716.997
54	272	Dedekind	1714.366
61	286	Zenzero	1710.767
63	291	Animod	1710.311
65	297	PADØ	1709.045
66	298	Vinz	1708.971
67	299	AleK	1708.826
70	302	Diddy★	1707.916
75	310	Pix3l	1706.254
78	315	BassotaraVGC	1705.66
91	334	Mozart9398	1702.464
92	335	Lore	1702.309
93	337	marcofiero	1701.909
129	424	Tyran7	1686.237
135	432	Dede	1685.784
144	452	Eughe	1682.245
148	458	Giulio	1681.719
150	463	Aminko	1681.334
159	479	Igneel	1679.784
176	522	Mr.Luke	1674.816
196	567	Heisenbread	1669.723
202	583	Andrea	1668.426
234	671	Kyogrus24	1660.504
252	712	Jack	1657.156
257	726	Lele	1656.303
264	739	Jane	1655.577
271	757	♥LOVE♥Deiv	1653.685
301	831	albo	1648.729
312	855	NaviVGC	1647.13
318	869	Lil Darkrai★	1645.935
326	884	AlexisVGC	1645.067
338	910	odegnin	1643.389
346	925	Tambu	1642.455
363	954	Gab	1640.864
365	961	Tomas	1640.32
383	994	Davide	1638.001
395	1034	Zero	1635.562
398	1037	Ste	1635.459
413	1076	Daniele	1632.939
442	1137	Gian	1628.965
476	1210	RefAmici94	1624.207
486	1236	Lore491	1622.646
504	1266	Kirio	1620.88
512	1275	Goldor	1620.441
513	1277	Pepe	1620.405
515	1281	Demo	1620.047
523	1296	A. Diprè	1619.405
527	1303	Legio90	1618.933
552	1354	Goldenboy64	1616.727
567	1388	Gilberto	1615.602
576	1407	Matty	1614.833
582	1418	Pirazòn	1614.327
594	1438	Leonardo	1613.294
605	1463	NikyuAlex	1612.667
608	1467	Marco	1612.544
612	1473	Nikippo	1612.268
626	1497	Cri >:(	1611.179
654	1540	Difelix	1609.752
655	1543	Lazarett	1609.609
656	1545	Robi	1609.561
661	1553	Matteo	1609.203
674	1588	sVava	1608.077
675	1589	Andrey	1608.039
683	1602	DaviRunde	1607.485
699	1639	Hachiko	1606.125
704	1652	Chiara	1605.923
708	1659	Puggiu	1605.617
725	1694	OteriVGC	1604.387
728	1700	Noxill	1604.267
738	1722	Brodator	1603.607
747	1735	Chad	1603.07
761	1770	Pisco	1602.221
778	1809	Fastum	1601.074
784	1821	Livius I	1600.718
832	1906	Alex	1597.283
843	1938	Matt	1596.129
852	1950	Mirai	1595.77
856	1961	SalvyPara	1595.288
869	1986	Michy	1594.521
870	1993	Luca	1594.287
890	2050	ErGuera	1592.116
893	2054	A2	1591.935
895	2060	Giacomo	1591.64
912	2093	MOODY GIRL	1590.601
933	2145	AstaPunch	1588.448
946	2168	Marco	1587.731
961	2190	Mattia	1587.149
976	2217	Salvo	1586.146
1031	2343	Michele	1581.851
1037	2353	lillo	1581.486
1049	2378	lele	1580.557
1071	2422	Alberto	1579.02
1076	2432	FedeMitra9	1578.673
1108	2503	Daniele	1576.815
1123	2528	Tommee	1576.116
1136	2554	Larchete	1575.227
1141	2562	Ballero72	1575.047
1153	2583	Olymak	1574.324
1160	2603	Teino	1573.876
1187	2677	Caiekeru	1571.699
1215	2726	GREIS	1570.187
1217	2729	ZooM	1570.096
1229	2755	Lino	1569.57
1234	2763	Ferro01VGC	1569.279
1240	2773	CraxyFox	1568.969
1246	2786	Andre?	1568.651
1272	2859	Keter	1566.357
1278	2867	Yaya	1566.087
1289	2887	Johnny	1565.642
1304	2920	Kat	1564.793
1305	2921	LuMastr	1564.778
1310	2932	Scofie	1564.311
1315	2947	Phil 	1563.782
1328	2976	Gjiero	1563.195
1348	3025	dericos	1561.792
1364	3052	Cyalia	1561.275
1368	3058	Markw	1561.065
1382	3092	Diego	1560.294
1390	3105	Ghira	1560.079
1418	3160	LaPitima	1558.614
1429	3180	Pier	1558.043
1432	3187	ØScar	1557.923
1441	3206	Franci	1557.585
1449	3222	Filippo	1557.027
1479	3284	Tisio	1556.002
1481	3286	Dondi	1555.961
1499	3321	Azrael	1555.309
1500	3322	SpaccaGoblin	1555.268
1501	3324	Xeolnorz	1555.162
1502	3326	CostaYo	1555.114
1527	3392	Entity	1553.655
1561	3461	Batsy	1552.189
1573	3477	SommoZumai	1551.931
1576	3483	Davide	1551.817
1594	3516	Eviovulpix	1551.205
1609	3544	lino	1550.686
1663	3638	Matteo	1548.662
1667	3643	Zanö	1548.63
1681	3679	Deb	1548.007
1705	3728	GabryW	1547.272
1709	3734	Andrea	1547.197
1716	3745	Mattoe	1546.953
1762	3835	Antonio	1545.687
1774	3859	Riccardo	1545.357
1786	3882	Giulio	1544.96
1810	3923	Elite4gebe	1544.239
1813	3926	Kcyller	1544.215
1829	3959	L'Ato	1543.521
1841	3980	Colle	1543.115
1847	3993	Dav	1542.9
1865	4029	Flapoké	1542.128
1873	4055	luqman	1541.444
1879	4066	Edo	1541.188
1884	4074	Oobe	1541.077
1887	4081	Claudio	1540.863
1896	4104	Ombra	1540.425
1922	4150	Raffy	1539.654
1931	4169	TheBardo	1539.286
1936	4181	Dokucale	1539.161
1948	4207	Matteo	1538.696
1957	4222	Salmone	1538.484
2014	4343	Exonarf	1536.314
2027	4364	Majovax	1535.923
2041	4393	Cappo	1535.435
2042	4395	Stefano	1535.403
2044	4398	AlexVGC	1535.358
2049	4413	Doles	1535.024
2066	4442	TrinkiVGC	1534.253
2085	4484	V3ktor_0	1533.377
2115	4539	OMAR	1532.689
2133	4575	Ramessetti	1532.088
2158	4615	Francis	1531.337
2181	4658	Giag	1530.338
2189	4671	OnidracsVGC	1530.066
2192	4674	Ziv	1530.019
2224	4757	Ivan	1528.965
2230	4767	RIC	1528.79
2249	4794	Lollo	1528.358
2265	4824	Ardaz	1527.96
2275	4846	Pedro	1527.595
2281	4859	Matto	1527.431
2303	4915	ßræd	1526.606
2343	4978	Cleev	1525.393
2348	4984	Gab	1525.323
2388	5067	Raider	1524.045
2400	5088	Giuda	1523.667
2419	5122	Blakunz	1523.25
2425	5130	Il Vacuo	1523.097
2442	5161	Wilkas	1522.465
2454	5178	Zep	1522.193
2455	5181	Tio	1522.143
2456	5184	Johnny	1522.095
2465	5201	Alessandro	1521.933
2472	5218	Francy	1521.661
2499	5276	Simone	1520.841
2500	5277	Cydonia	1520.799
2532	5327	alelau90	1520.167
2533	5328	Edo	1520.166
2545	5351	Elrond	1519.902
2557	5367	Zeren	1519.813
2559	5372	PusH	1519.771
2565	5391	Shu	1519.496
2580	5420	Kazuto	1519.123
2598	5459	Gian	1518.663
2610	5477	ReCapra	1518.491
2623	5508	nana☆	1518.111
2629	5518	Trent	1518.012
2651	5565	Trev	1517.484
2659	5583	Corinne	1517.262
2666	5604	Gerva	1517.088
2720	5702	Manu	1516.343
2739	5736	Vito	1516.077
2740	5737	Antonio	1516.059
2741	5741	Davide	1516.011
2743	5745	Dario	1515.953
2751	5758	GameyGiant	1515.898
2815	5878	Calamella	1514.728
2817	5882	Hawey	1514.699
2826	5898	Alessandro	1514.516
