Region Rank	Rank	Name	Rating
1	3	Hoej	1789.622
2	4	Nikolaj_H	1788.747
3	6	Takami$Chika	1786.94
4	7	Borsalino	1777.928
5	8	PqlarBear	1776.898
6	9	DanielAcorn	1776.646
8	13	sempra	1772.567
9	14	 Karina	1769.646
10	16	AEsir	1767.662
12	19	Koala-T Kost	1764.05
14	23	Aaron	1757.872
15	30	Shiba-Max	1756.212
16	31	ΦΚΨ	1756.192
17	36	Dandy	1754.331
18	39	Aria	1752.871
19	82	Vanity♥colon	1747.62
21	117	JoeUX9	1744.839
22	142	6o4	1743.237
24	161	Noodles	1741.117
29	190	Andrew	1738.174
33	212	Taran	1731.961
34	214	Bruno boy	1731.737
35	217	Phatrick	1731.018
36	220	Dave	1730.362
37	225	Colon	1729.98
38	231	eric	1728.245
41	241	Zoro	1723.077
42	242	Peco★	1722.971
44	248	LastStardust	1721.335
45	253	Susej	1718.786
46	256	Verona	1718.576
47	257	Lylah	1718.571
48	258	Yuanyo	1718.297
50	261	PerishVGC	1717.66
52	267	JuanCa	1715.793
53	270	PaulJSpear	1715.109
55	273	Justin	1714.123
57	280	Bella Mai	1711.74
59	284	Zo	1710.863
60	285	Joe	1710.798
64	294	Aery	1709.517
69	301	Pearl	1708.138
71	304	Jason	1707.485
72	306	Bahamate	1707.121
73	308	Oscar	1706.33
74	309	CybertronVGC	1706.267
76	313	Tiff Curry	1705.902
77	314	Chris	1705.697
79	316	Shabarai	1705.607
80	317	SMOKE	1705.477
82	320	H02010	1705.15
84	322	Pontus	1704.81
85	323	Santino	1704.655
87	327	Mattie	1704.359
88	329	Kingslayer	1704.099
90	332	daii	1702.688
94	340	FLima	1701.619
95	341	James	1701.082
96	342	XZacLee	1700.958
97	344	Shawn	1700.924
99	346	PokeRaf	1700.21
101	360	Pranav	1697.608
102	364	Cloud	1696.65
103	368	tsumi88	1695.881
104	369	Vio Phoenix	1695.828
105	371	Midder	1695.306
106	372	Jocan	1695.207
107	373	Dot1Q	1695.164
108	374	Lucky-Sama	1695.125
110	379	Ash	1694.145
112	388	Jack	1691.545
113	389	TheBlueBunny	1691.189
114	392	cedrico	1690.765
115	396	Murhaf	1689.865
116	397	DeyTey	1689.799
117	398	Jesse	1689.75
118	402	Xplainalot	1689.192
119	403	Wid	1689.076
120	406	DeskSmash	1688.669
121	408	Jawnzu	1688.482
122	409	Cach92	1687.816
123	410	Edu	1687.692
124	415	GarnetSP	1687.434
125	417	Florian	1687.183
126	418	Kat	1687.124
127	421	Matt	1686.535
128	422	Tena 	1686.455
133	430	Judith133	1685.926
134	431	blubghblub	1685.825
136	435	Kids	1685.037
137	437	Boss	1684.76
138	438	AC	1684.419
139	440	Teenspirit	1684.193
140	442	Steinar	1683.896
141	443	MirrorV	1683.882
142	444	Dan Kuso	1683.795
146	456	Pancho	1682.128
147	457	Rizaya	1682.075
149	462	KENNETH	1681.364
151	464	Колхоз	1681.246
153	466	Rudy	1681.132
154	467	Antonio	1681.131
155	468	Hellraiser	1681.056
157	473	Miku	1680.225
158	476	Dirty Dan	1679.994
160	484	Sarah	1678.832
163	493	Lexicon	1677.769
164	494	NKG2D	1677.738
165	498	ck49	1677.065
167	500	Borghi	1676.821
168	505	Yume	1676.33
169	506	Bèf	1676.214
170	507	Chuppa★Cross	1676.173
171	508	Mr.Awesome	1676.139
172	511	Kirbbles	1676.067
173	514	Shane	1675.648
174	516	Who?	1675.387
175	518	elninotatem	1675.081
177	524	Paladino	1674.581
178	525	Gio™	1674.527
179	526	ifpereira	1673.937
180	528	Maddo	1673.75
181	530	James	1673.555
183	532	Len	1673.43
184	534	panda	1673.388
185	540	ZardiCharVGC	1672.712
187	550	Lord Kai	1671.302
188	553	NJ11	1670.96
191	557	WhimVGC	1670.79
