Region Rank	Rank	Name	Rating
3	3	蓝宝石	1808.167
20	55	夏天的影子	1748.145
34	211	露露♪	1731.713
39	224	20亮亮	1724.241
50	252	爱城华恋	1713.583
61	274	圆滚滚电刺猬	1709.264
73	296	云荒皓月	1705.373
85	324	SG★	1700.031
90	336	坠克	1696.789
101	360	三海	1692.506
221	636	代后	1657.866
233	659	应愔	1656.195
257	701	小鳥遊六花	1653.172
291	766	ZiaR	1648.932
305	800	绝剑	1646.288
341	864	PYTHON	1642.595
358	896	ay44	1640.834
432	1037	人生赢家	1630.635
465	1118	♡奶糖花♥	1626.523
571	1338	贼眉	1615.62
591	1369	大橘猫	1614.347
596	1375	Gary	1614.237
615	1409	+ω+	1612.82
683	1526	小史	1609.512
694	1548	Jiayin	1608.782
781	1700	Biei	1603.42
793	1729	天难忱斯	1602.501
846	1829	时子	1599.115
869	1872	私論理	1597.481
910	1947	呐是一道光	1594.824
919	1963	比卡超电击	1594.148
938	2000	Steven	1592.658
941	2006	凜	1592.407
955	2032	欢聚	1591.247
978	2069	松本	1589.384
990	2090	Jenda	1588.573
1032	2185	cbh013	1585.273
1081	2284	Helius	1582.158
1129	2368	魏小昂	1580.025
1149	2401	Kars	1579.268
1163	2432	杰	1578.222
1201	2512	K9999	1576.396
1203	2515	其之	1576.27
1211	2528	lily	1575.856
1216	2538	Poppy	1575.665
1256	2623	小青	1573.369
1272	2651	Koga	1572.825
1281	2665	五福	1572.514
1315	2728	江泽香菜	1570.316
1346	2781	炸酱面	1568.594
1357	2804	Mel	1567.804
1384	2851	Allen	1566.595
1424	2931	Star	1564.771
1466	3020	moko	1562.844
1470	3026	灵阳	1562.739
1488	3058	Z	1562.199
1528	3129	Max	1560.733
1540	3155	唱跳rap	1560.294
1560	3190	SH方舟骑士	1559.291
1611	3285	猴头菇	1557.254
1652	3353	古力鸭	1555.612
1658	3366	无话	1555.359
1665	3375	火鱼	1555.233
1678	3405	www	1554.335
1782	3584	泥啪	1550.184
1801	3625	真行寺由仁	1549.418
1837	3698	snk	1547.881
1838	3699	Eazert	1547.847
1845	3711	aa	1547.665
1861	3739	SHeart	1547.186
1868	3750	陈凯	1547.09
1907	3824	zlyu	1545.865
1916	3839	疑点颇多	1545.633
1917	3841	音箱蟀侠ag	1545.567
1954	3912	不讲伍德	1544.191
1977	3950	talair	1543.538
1986	3965	林克	1543.214
2039	4065	怪阿ι67	1541.289
2042	4068	Meteor	1541.207
2052	4083	小春	1540.968
2072	4113	kirby	1540.356
2088	4141	鬼鬼	1539.836
2090	4145	Cornel	1539.773
2101	4170	聪少	1539.373
2108	4185	大吾	1539.038
2116	4203	Chs	1538.79
2126	4219	折原吃大餐	1538.47
2128	4225	默魚	1538.437
2202	4377	小老虎	1535.718
2214	4400	染雨	1535.326
2323	4606	荭䈎	1531.919
2326	4610	Leon	1531.861
2375	4703	逢魔时王	1530.354
2397	4752	TM30	1529.746
2399	4755	啵啵	1529.637
2405	4768	光炫	1529.402
2406	4770	Lau	1529.366
2409	4773	卡比兽粉丝	1529.303
2420	4800	Hunter	1528.868
2451	4858	Buya	1527.676
2454	4862	Violet	1527.57
2497	4952	记录指针	1526.144
2526	5003	伊地知虹夏	1525.585
2549	5041	汤不牢	1524.943
2563	5071	舜水	1524.436
2627	5195	喝水侠	1522.438
2651	5237	天一	1521.737
2681	5282	贝贝蒜	1521.012
2687	5297	LYC	1520.818
2690	5305	Zizi	1520.712
2691	5306	我是Jy	1520.704
2703	5324	西湖雪舞	1520.555
2769	5441	yskm	1519.0
2782	5466	海德薇	1518.607
2805	5511	团子	1518.116
2813	5525	竹	1517.992
2818	5532	Tora	1517.907
2820	5535	利奇	1517.876
2838	5572	Angla	1517.624
2839	5574	mtb	1517.607
2841	5581	铁风	1517.529
2848	5597	athrun	1517.288
2850	5599	果果	1517.254
2856	5614	RaMen	1517.083
2876	5652	zz	1516.645
2899	5692	诺亚	1516.26
2908	5719	薇	1516.043
2915	5732	春日野悠	1515.953
2925	5744	折木	1515.861
2953	5797	翔太798	1515.363
