Region Rank	Rank	Name	Rating
43	236	Tenseigt	1720.193
44	238	Javier	1719.62
59	270	GeekVGC	1710.018
60	272	Juanfi	1709.788
64	281	Mario	1707.306
68	290	Cristian7gg	1706.211
81	318	Cañuelo	1700.663
87	328	Rikku	1699.169
113	382	EXHOUL	1686.982
114	383	JG	1686.934
148	466	Diego	1675.823
155	481	Jανι♡†	1673.755
183	536	DaniCorrals	1666.687
192	555	Adri	1664.351
202	575	Mako	1662.706
227	648	JMT7	1656.933
240	672	BenjiCumbias	1655.415
242	677	IHancocKI	1654.998
261	709	Javi	1652.533
262	712	Sergi	1652.444
280	737	RoiRehh	1650.612
296	778	Juaco	1648.056
301	788	Skymer	1646.972
310	810	Jude	1645.781
317	823	Pako Glitch	1644.85
319	829	Alexis	1644.712
339	862	Matthew	1642.728
344	871	Xpartaz	1642.253
352	886	FRAN	1641.56
361	899	Maestro Ninu	1640.484
363	902	Sekiam	1640.289
368	909	Sergio	1639.885
370	914	Manuti	1639.576
385	951	Lombuitres	1636.912
392	967	Avilés	1636.054
408	994	DarkyMaster	1633.49
418	1014	Sebba	1632.086
437	1044	Alejandro	1630.155
441	1061	Mónica	1629.032
449	1085	Tongo	1628.27
454	1093	Fan	1627.799
459	1104	Javier	1627.445
462	1111	Jordi	1626.997
464	1115	Pelluhue	1626.795
474	1137	Forcho	1625.384
478	1147	Gian Pierre	1624.76
493	1176	Echelon	1623.314
496	1179	Imanol	1622.871
500	1193	Sifrido	1621.904
525	1238	Ismael	1619.325
533	1257	Levy's	1618.385
534	1261	Roberto	1618.215
556	1309	Carlos	1616.702
569	1334	ChuyBreton8	1615.688
579	1348	Ivan	1615.276
600	1381	Renan VIII	1613.968
643	1453	~SKALARI~	1611.459
644	1455	Migue	1611.358
666	1499	JuanmaEl32	1610.188
674	1513	Degeoh	1609.835
691	1545	Er Yayo	1608.941
717	1586	HeiseM	1607.179
747	1636	Noriega	1605.471
762	1673	Lobon	1604.322
773	1689	Gian	1603.873
798	1736	Bjorn	1602.225
822	1782	JarQ'Off	1600.914
831	1799	Jejemena <3	1600.299
836	1809	GonesTR	1600.026
838	1812	UnBanLobitos	1599.923
849	1835	Batman	1598.859
861	1856	wajeee	1598.354
864	1863	Jordi	1598.025
872	1881	Luixen	1597.249
877	1890	Juaco	1596.944
879	1893	Roberto	1596.709
881	1898	GDE Ash jr.	1596.629
883	1901	Olga	1596.559
892	1915	Layla	1596.076
906	1940	Alex	1595.133
912	1950	LeunamTG	1594.629
918	1961	Lusho	1594.168
929	1990	DarkSword	1592.988
932	1994	DaniHotaku	1592.862
940	2005	SaberGio	1592.462
958	2037	FAC0	1591.002
968	2052	David	1590.203
992	2093	Ago	1588.486
999	2106	Imanol	1588.302
1005	2115	Cristian	1588.003
1019	2154	MS~Sho	1586.539
1035	2191	Enrique	1585.056
1046	2217	Guillem	1584.323
1047	2219	Error(2)	1584.302
1050	2222	Mouk	1584.18
1062	2246	Oden	1583.48
1083	2288	bro1nk	1581.992
1085	2291	Phamton Evil	1581.956
1100	2312	Deimos	1581.297
1104	2317	Tricejer	1581.12
1114	2337	Daniel	1580.71
1147	2399	Unni	1579.349
1156	2420	Kynt3	1578.578
1159	2425	Javi R.	1578.284
1160	2428	Nash	1578.239
1172	2451	Slam	1577.826
1178	2460	Flygon	1577.59
1182	2467	Khorko	1577.458
1183	2470	Gary Oak	1577.419
1184	2471	Jorge	1577.386
1185	2472	Bise	1577.385
1187	2476	Django	1577.344
1196	2501	Beto D.	1576.625
1200	2511	Mario	1576.416
1218	2544	luis	1575.571
1221	2550	Hugo	1575.419
1227	2566	Red	1575.151
1235	2581	Pedro J	1574.756
1265	2640	Eslender	1573.049
1275	2655	Martin	1572.804
1280	2664	teel	1572.556
1309	2719	Mihawk	1570.407
1321	2736	Carlos	1569.89
1324	2744	7illo	1569.754
1330	2751	Ivo	1569.499
1348	2792	Lolo	1568.124
1351	2796	Faust	1568.023
1353	2798	Godey	1567.996
1355	2801	urprincess11	1567.925
1376	2839	Albert	1566.966
1432	2950	ANGEL.	1564.403
1447	2981	Alex	1563.659
1459	3007	Danonino	1563.125
1462	3015	Kique	1562.936
1464	3019	merc	1562.847
1472	3029	Vacaeburro	1562.687
1497	3070	Gope	1561.968
1503	3078	Piro	1561.739
1505	3087	Guille	1561.548
1510	3092	Luis	1561.47
1521	3110	M.Á	1561.125
1531	3137	Borja	1560.602
1537	3150	Davi	1560.411
1555	3182	Guille	1559.489
1561	3192	Gabriel	1559.269
1562	3196	IVeygon	1559.22
1564	3202	ScarfGG	1559.118
1573	3221	Pablo	1558.709
1585	3239	UnAngel	1558.205
1594	3253	F2	1557.916
1604	3273	Barthozze	1557.565
1608	3281	Juanxo	1557.291
1621	3299	Nahhu	1556.873
1625	3308	Lebrero	1556.649
1626	3309	Samu	1556.595
1628	3311	Daemon	1556.557
1631	3315	CansecoChánn	1556.483
1632	3319	Hiramidas	1556.39
1638	3327	Deschain	1556.175
1641	3331	Manu	1556.056
1642	3333	AB	1556.051
1643	3334	Jusep	1556.03
1646	3341	STKSigurboy	1555.933
1654	3357	VICTOR	1555.49
1661	3369	Purple	1555.307
1662	3371	Abi	1555.256
1671	3388	Cris R.S.	1554.894
1677	3403	David04	1554.357
1680	3409	Custoya	1554.21
1692	3434	LMagician	1553.861
1697	3441	Rubén	1553.693
