Region Rank	Rank	Name	Rating
7774	14374	Adri	1420.325
7927	14586	DarkWolf	1414.63
8006	14688	fred	1411.451
8055	14754	abdou	1409.364
8113	14844	Riskeels	1406.517
8123	14855	Solene	1405.989
8144	14888	Historia	1404.454
8172	14931	Toine	1402.954
8193	14955	Timothé	1401.723
8213	14989	Mythos	1400.808
8214	14991	Chapy	1400.762
8235	15022	FloW	1399.265
8281	15085	max	1396.327
8470	15341	Chimpy	1383.286
8495	15376	Mill	1381.029
8530	15426	Greg	1377.046
8549	15451	JoeKuro	1375.509
8654	15591	David	1362.298
8662	15599	Zephyr	1361.373
8667	15608	Yuyu	1360.567
8700	15649	Hicham	1355.849
8754	15726	Kroptar	1346.465
8817	15811	Cassiopea	1327.597
8843	15843	Morton	1320.572
8880	15896	Carolyne	1303.563
8912	15936	Daniel	1283.142
8925	15954	elo	1268.111
8946	15986	sacha	1230.843
