Region Rank	Rank	Name	Rating
8	13	Gilgamesh	1785.078
21	88	marcofiero	1762.017
29	134	GAPARADOX95	1756.968
45	187	Giulio	1743.6
54	212	Aminko	1734.482
65	233	PADØ	1731.828
72	243	Livius I	1728.574
76	251	Triir	1726.198
102	292	Er Re	1717.076
105	299	Ste	1716.474
109	305	Lino	1715.263
125	332	Usagi	1710.728
126	334	Chad	1710.652
131	346	Heisenbread	1709.064
137	355	Lorenzaooooo	1708.374
151	382	Pix3l	1704.363
152	384	Lait	1704.12
159	395	Mozart9398	1703.147
163	406	Larchete	1701.885
181	439	Davide	1698.033
186	451	Lore	1696.006
187	453	Leo	1695.784
198	468	Yuko	1693.266
205	479	GabryW	1691.875
207	485	Elite4gebe	1691.416
209	491	Dede	1690.95
238	541	Matt	1684.525
249	560	Igneel	1682.591
255	576	Andrews	1680.788
272	606	SC_presc	1677.425
277	621	Pisco	1675.787
284	630	Zero	1674.898
290	643	Maro	1673.514
310	681	Lazarett	1670.142
314	696	Yaya	1669.346
316	698	Gab	1669.267
319	702	Mino	1669.175
343	755	Ferro01VGC	1665.067
351	771	NICO	1664.254
368	801	Jack	1662.743
394	851	Daniele	1659.789
396	855	Vinz	1659.448
400	865	Knuckles	1658.602
407	874	Animod	1657.895
408	875	♥LOVE♥Deiv	1657.887
410	878	Mema	1657.72
461	976	Lele	1652.705
476	1006	Trev	1651.041
478	1008	TheBardo	1650.809
482	1012	Andrea	1650.617
496	1041	sVava	1648.773
516	1088	Legio90	1645.839
528	1110	Jane	1644.385
529	1115	FinnzVGC	1644.248
542	1146	Roberto	1642.009
551	1164	christian	1641.32
556	1176	Echoes	1640.888
577	1226	WolborgVGC	1638.279
580	1236	Leonardo	1637.759
590	1257	Cri >:(	1636.845
593	1264	AstaPunch	1636.376
595	1267	♂DARIUS♂	1636.329
607	1283	Crystal	1635.74
613	1298	Teino	1635.115
615	1301	SebaVGC	1634.957
623	1316	FinnzVGC	1634.362
671	1405	SpaccaGoblin	1629.573
675	1410	Mark	1629.364
691	1450	DigioVGC	1627.517
693	1455	Ivan	1627.336
698	1468	Alessandro	1626.832
701	1476	Mava	1626.108
702	1477	AleK	1626.1
714	1495	Lazza	1625.222
717	1501	GIACOMO	1625.023
718	1503	Luigi	1625.004
721	1506	Andrey	1624.955
726	1522	Timo	1624.428
732	1534	Fox	1623.859
746	1560	LaPitima	1622.775
768	1604	Gerby VGC	1620.717
786	1642	Mr.Luke	1619.455
806	1682	AlexVGC	1617.866
813	1694	CraxyFox	1617.438
831	1731	Nik	1616.209
836	1742	Chiara	1615.811
844	1756	Succetti	1615.379
852	1768	Keter	1614.787
856	1781	Matto	1614.311
864	1805	Ψυχικ Ποισον	1613.641
896	1867	Ryan	1611.401
906	1886	TONY9	1611.046
911	1896	Triad	1610.784
940	1942	Gab	1609.59
