RegionRank	Rank	Name	Rating
4753	9123	Maurizio	1498.108
4810	9218	Dark-Chan	1497.178
4825	9244	EntenghostGT	1496.917
4891	9347	Jasmina<3	1495.705
4910	9380	Yoshi	1495.344
4938	9425	Akani	1494.936
4939	9427	NiloVGC	1494.908
4944	9434	Kohai	1494.755
4984	9525	NiloVGC	1493.626
4993	9539	Bennon	1493.507
5036	9616	PumbaShot	1492.514
5045	9632	CeDeKay	1492.288
5090	9709	Brutaka	1491.511
5120	9772	Ryuuzaki	1490.724
5151	9834	Donnerfuss	1490.101
5190	9903	Pat	1489.54
5202	9922	Mochi	1489.437
5210	9933	Germanvirus	1489.298
5211	9934	Flo	1489.279
5213	9936	Hamudin	1489.275
5218	9946	 Nori	1489.227
5229	9966	Nanatsaya	1489.09
5234	9973	Jost	1489.018
5242	9985	Kugelblitz	1488.867
5244	9993	Dome	1488.8
5263	10019	Fearless	1488.641
5269	10027	Schomer	1488.581
5282	10055	Marcel	1488.416
5296	10084	Erebos	1488.213
5303	10095	Norris	1488.119
5343	10161	Melody	1487.668
5373	10219	LouTheFou	1487.362
5376	10222	Cyberloox	1487.348
5385	10237	PhantomHeart	1487.256
5393	10253	Christian	1487.143
5394	10254	Justin	1487.14
5412	10291	Michilein	1486.935
5422	10304	Ferrro	1486.87
5426	10312	Markus	1486.829
5431	10321	Lena	1486.807
5450	10350	Melvin	1486.649
5463	10368	josh77	1486.525
5488	10407	Bummi	1486.304
5505	10443	Isa	1486.115
5507	10448	Nicholas	1486.074
5564	10559	Kai	1485.508
5610	10636	Benny	1485.075
5634	10675	Zero	1484.899
5673	10753	Dom	1484.46
5710	10807	M0nk3y_Kami	1484.206
5724	10840	Maxi	1484.048
5773	10937	Miyuki	1483.554
5778	10944	Kaiusco	1483.514
5784	10953	Psyschock	1483.471
5797	10974	DoubleK	1483.335
5813	10998	Ancoly	1483.21
5843	11050	Robby	1482.867
5845	11052	Shíras	1482.849
5846	11053	Olive	1482.845
5854	11066	Sarah	1482.778
5899	11141	iMPuLs	1482.278
5903	11148	Lèé Rock	1482.208
5960	11251	Sweety	1481.348
5996	11312	Dominik	1480.838
6014	11336	Edelgard	1480.575
6015	11338	Max	1480.569
6036	11379	Kaolin	1480.095
6057	11422	A.G	1479.786
6120	11544	Roman	1478.604
6137	11579	Eric	1478.314
6143	11597	Rendiew	1478.032
6157	11625	FO 518	1477.677
6173	11649	Marvin	1477.401
6198	11690	Beofranc	1476.898
6229	11736	Johnny	1476.494
6236	11750	Lucas	1476.346
6245	11761	Kathi	1476.262
6256	11774	sina <3	1476.125
6261	11782	Maxi	1476.035
6286	11828	Chrisi	1475.57
6300	11850	Anschi	1475.277
6316	11872	Tom	1475.035
6324	11890	Sushi	1474.804
6333	11909	ModdA	1474.584
6337	11914	Lucariotiem	1474.55
6340	11918	Noci	1474.532
6349	11930	Silber	1474.429
6383	11999	Hector	1473.786
6401	12031	NeoBlackbelt	1473.447
6405	12038	Zodiac	1473.359
6406	12039	Michel	1473.355
6419	12061	Brix	1473.129
6421	12068	Alex	1473.075
6427	12080	Chris	1473.006
6444	12108	Cindy	1472.789
6457	12126	Marc	1472.626
6460	12130	Param Jit	1472.589
