RegionRank	Rank	Name	Rating
7810	14356	marco	1455.632
7854	14431	Lorenzo	1455.397
7864	14446	Gale	1455.329
7907	14517	Quentin	1455.077
7912	14531	Michaël	1455.025
7914	14535	Mike	1455.013
7995	14684	Shey	1454.506
8004	14697	Mikus	1454.475
8029	14739	Juliana	1454.332
8035	14747	Littlhero	1454.303
8076	14817	Maxime	1454.06
8086	14836	DOC MAD	1454.011
8103	14864	OLFITO	1453.9
8120	14890	Aurore	1453.812
8131	14906	Willy	1453.766
8149	14933	Superbat	1453.677
8158	14947	Luphena	1453.638
8180	14992	Andy	1453.492
8199	15021	Tory	1453.387
8208	15041	Gogeta	1453.322
8228	15076	DarkShey	1453.203
8231	15081	Toge	1453.195
8247	15105	morgane	1453.083
8249	15109	Nell	1453.075
8254	15117	Mélovia	1453.052
8325	15240	Méridium	1452.631
8372	15314	Eden	1452.312
8384	15333	Eddy	1452.221
8422	15391	Phil	1451.962
8425	15399	Vardecto	1451.926
8435	15415	maxime	1451.803
8515	15555	Luke	1450.959
8538	15592	Galaad	1450.721
8588	15673	Tiivia	1450.066
8634	15745	Kalion	1449.31
8647	15763	ZalSal	1449.215
8651	15767	Sansa	1449.198
8681	15807	Thomas	1448.707
8727	15872	Nextflow	1448.139
8730	15879	STrooper	1448.081
8731	15882	Waluigi	1448.044
8859	16077	Xzwyst	1445.713
8872	16098	MaRcOs	1445.416
8879	16117	Olivier	1445.216
8916	16167	Gorak	1444.583
8972	16249	LeDuke	1443.487
8984	16263	Lapin	1443.31
8993	16276	UniV	1443.212
9026	16331	cloud2681	1442.747
9042	16357	Juliana	1442.59
9047	16364	luc	1442.543
9080	16418	Syrus	1442.114
9141	16514	Flora	1441.219
9142	16515	Vif-Argent	1441.187
9148	16525	Adi	1441.156
9151	16528	Kelnon	1441.114
9152	16531	Lilie	1441.098
9160	16545	max	1440.946
9227	16640	lou	1440.255
9269	16701	Cédric	1439.7
9300	16749	David	1439.335
9311	16766	Arranic	1439.232
9320	16778	Flo	1439.165
9356	16827	Violet	1438.758
9361	16838	L	1438.656
9405	16902	Vif-Argent	1438.069
9407	16905	sacha	1438.036
9420	16939	nikosdub10	1437.72
9422	16941	ludovic	1437.703
9454	16995	Jibanyan14	1437.159
9465	17010	MartineRose	1436.948
9498	17062	Alexis	1436.479
9509	17081	Jonathan	1436.268
9568	17177	Mat	1434.987
9622	17259	Ajihel	1433.891
9630	17276	FoxTroT	1433.657
9637	17286	BuzeoH	1433.469
9649	17303	RedLing	1433.229
9674	17338	mohamed	1432.668
9760	17455	PyProd	1430.543
9797	17513	Shamalloow84	1429.658
9803	17523	MaRcOs	1429.516
9841	17579	Lancelot	1428.709
9857	17604	Serena	1428.347
9874	17626	Tsutsu	1428.015
9878	17631	Saiint972	1427.94
9912	17680	Naej	1427.386
10019	17824	manu	1425.361
10036	17845	Flobu	1425.03
10057	17878	Florián	1424.429
10081	17913	Sixela	1423.924
10089	17924	billy	1423.785
10120	17966	Noko	1423.084
10141	17998	Anthony	1422.611
10164	18036	Flow	1421.892
10213	18107	Noko	1420.697
10244	18153	clem	1419.713
10245	18155	Nap	1419.681
10285	18208	FloW	1418.634
10416	18413	remi	1414.317
10421	18421	Jean	1414.108
10430	18431	Atsoas	1413.953
10450	18464	Guix	1413.368
10478	18501	sébastien	1412.846
10500	18534	Flavien	1411.924
10511	18548	Baoh Li	1411.707
10543	18593	David	1410.755
10552	18608	Traps	1410.354
10647	18747	Sojiroms	1406.858
10667	18771	kayru	1405.986
10686	18804	lenny	1404.729
10690	18811	Yo	1404.646
10708	18833	itchi	1403.9
10711	18837	Kik's	1403.647
10729	18864	Matthieu	1402.859
10748	18896	Éowinne	1402.097
10836	19030	shaman	1397.967
10838	19034	Guigui	1397.816
10889	19116	roh	1394.715
10910	19145	Alexander	1393.77
10926	19162	Spaner972	1393.101
10960	19207	Alicia	1391.449
10996	19259	Haustariel	1389.281
11005	19271	D'Ornurt	1388.813
11044	19331	max	1386.313
11047	19335	Cédric	1386.151
11133	19456	Rei Ayanami	1379.806
11193	19539	Son Gokev	1375.203
11196	19543	MaNaNa	1374.823
11203	19550	fred	1374.38
11221	19574	Arcaniade	1372.658
11228	19583	Timothé	1372.229
11238	19596	Oldaric	1371.373
11274	19640	Elo	1368.207
11306	19682	Clarine	1365.587
11309	19685	Alex	1365.13
11318	19695	Bixxie	1364.68
11319	19696	Misaka1983	1364.456
11321	19699	Mill	1364.347
11340	19725	OtonashiRuka	1361.28
11383	19783	Jessa Bergèr	1356.147
11388	19789	Paul	1355.339
11398	19802	Lugau	1353.674
11403	19807	QcVie420	1353.503
11424	19836	Kazu	1350.026
11431	19844	Kristelle	1349.193
11435	19848	Simon	1348.524
11512	19951	Julianna	1333.691
11533	19976	Cassandra	1329.875
11541	19984	Brian	1329.301
11583	20038	Sebastien	1316.906
11610	20070	Erik	1305.738
11629	20096	Théo	1297.054
11690	20183	Coffee	1236.714
