RegionRank	Rank	Name	Rating
4055	7902	诺亚	1509.83
4062	7913	半缘君	1509.701
4091	7987	amoon	1508.893
4134	8079	冷涵	1507.761
4150	8107	牛牛DL	1507.447
4203	8198	空白	1506.526
4227	8240	某	1506.02
4233	8247	Reiki	1505.965
4257	8288	渊华	1505.538
4259	8292	汐沐	1505.485
4260	8293	yux	1505.48
4295	8343	伟伟王	1505.096
4303	8357	千夜	1504.999
4308	8366	Pika	1504.871
4327	8396	海龙	1504.589
4336	8412	看你的微笑	1504.382
4356	8443	冬雪莲	1504.058
4397	8521	奈子	1503.314
4399	8523	Lily	1503.3
4418	8557	卢本伟nb	1502.964
4422	8561	miko	1502.907
4427	8569	po_熊崽崽	1502.799
4430	8577	塞尔莱菲	1502.754
4444	8604	冷珂珂	1502.518
4494	8688	alexis	1501.824
4495	8689	代后	1501.822
4527	8741	dream	1501.374
4536	8753	十六夜咲夜	1501.305
4540	8757	。。。。。。	1501.274
4567	8799	菲鲁恩你不准	1500.884
4574	8823	枫晗	1500.701
4584	8836	Rocio	1500.623
4585	8837	小青	1500.615
4615	8888	艾伦	1500.165
4616	8892	小羽	1500.125
4628	8916	陈将军	1499.95
4634	8932	luffy	1499.816
4637	8937	hust	1499.787
4659	8974	卡璞铭铭	1499.533
4670	8990	小鹿乱撞	1499.402
4677	8999	小泽	1499.319
4683	9008	Angla	1499.212
4694	9035	莉梨埃	1498.953
4698	9042	小史	1498.846
4701	9046	DK龙仔	1498.814
4730	9091	王小芳	1498.421
4731	9092	明前奶绿	1498.405
4734	9098	杰	1498.375
4752	9122	绝剑	1498.112
4759	9132	Su	1497.976
4763	9141	Jolyne	1497.949
4768	9151	轲轲	1497.854
4773	9157	陳	1497.736
4781	9171	LX	1497.603
4784	9175	小须	1497.562
4796	9196	郭德纲	1497.36
4798	9198	萌萌哒阿帅	1497.348
4809	9217	三叶	1497.18
4813	9221	宋哈娜	1497.162
4860	9299	时伊	1496.254
4865	9308	三日月之舞	1496.109
4870	9314	Arashi	1496.056
4881	9332	暗凯	1495.888
4890	9346	♡奶糖花♥	1495.709
4903	9370	小居居	1495.423
4913	9388	小青	1495.287
4971	9501	loon	1493.998
4983	9524	凜	1493.632
4986	9529	逆	1493.58
5009	9571	山河	1493.001
5022	9590	小蔡老师	1492.863
5026	9597	小青	1492.725
5051	9641	龙桑	1492.189
5063	9659	花泽后	1492.056
5085	9701	琴吹䌷	1491.6
5116	9765	路瑶	1490.763
5168	9873	Poiple	1489.833
5172	9879	Alain	1489.8
5206	9926	三省吾身	1489.386
5216	9943	时雨	1489.237
5221	9951	空习习	1489.175
5228	9965	Lina	1489.095
5251	10004	天海奏	1488.706
5279	10049	夜七之影	1488.459
5292	10072	江眠爱干饭	1488.261
5304	10096	小叶子	1488.113
5321	10125	TAIGA	1487.88
5337	10153	Yonaka	1487.722
5353	10180	小青	1487.542
5359	10195	ABCyb	1487.495
5366	10204	Matto	1487.427
5371	10216	柚子	1487.385
5374	10220	小光	1487.36
5382	10235	Polar	1487.266
5395	10255	凯文	1487.139
5398	10260	浮云姑射	1487.105
5404	10274	Jaye	1487.027
5419	10298	赤赤兹	1486.908
5448	10346	Sanity	1486.67
5454	10356	finalz	1486.62
5455	10359	ZGS	1486.613
5459	10364	4Art	1486.555
5461	10366	天诺	1486.537
5466	10374	大霖子	1486.51
5503	10440	Den	1486.132
5504	10441	琪琪	1486.13
5506	10446	o	1486.087
5552	10538	Shinn	1485.629
5556	10547	麻薯	1485.579
5559	10551	音箱蟀	1485.545
5569	10566	aa	1485.478
5578	10584	雪地	1485.34
5593	10607	observ	1485.219
5600	10619	takag1	1485.168
5605	10627	零	1485.126
5607	10630	小青	1485.108
5609	10635	灵异迷	1485.076
5622	10654	itazu	1485.0
5630	10667	liofyy	1484.936
5645	10691	seed	1484.842
5665	10740	Dawn	1484.556
5679	10762	htxfd	1484.436
5698	10792	inu	1484.292
5703	10799	light	1484.246
5715	10817	白露	1484.158
5720	10827	san31	1484.127
5741	10878	Leng	1483.82
5790	10965	白咕咕ω	1483.373
5798	10975	听完这段旋律	1483.331
5806	10989	月祈	1483.253
5812	10997	千泷	1483.212
5836	11038	Le	1482.949
5850	11060	范特西	1482.8
5872	11092	七夜小凛	1482.662
5874	11095	Haviy	1482.652
5894	11133	卡兰	1482.347
5897	11136	小团团	1482.315
5898	11138	栞	1482.295
5902	11146	竹兰	1482.227
5914	11169	Ball	1482.051
5915	11171	淡定	1482.039
5923	11189	暖暖色>	1481.813
5927	11193	我是Jy	1481.737
5937	11211	武见妙	1481.6
5938	11214	糖醋里脊	1481.568
5965	11255	乔六剑	1481.321
5976	11275	素义伦	1481.186
5979	11278	关关	1481.166
5997	11313	女骑露腿	1480.81
6012	11334	小可	1480.592
6035	11377	yE	1480.106
6094	11486	fr33	1479.172
6102	11506	李阿宝宝	1478.947
6104	11510	Kylin	1478.902
6130	11564	果果	1478.461
6175	11652	敌敌畏	1477.349
6306	11858	凑斗光	1475.194
6317	11873	liang	1475.029
6390	12012	波比	1473.668
6394	12021	太晶飞固拉多	1473.562
6395	12022	AAkira	1473.545
6397	12024	刷哥	1473.524
6408	12042	碌葛	1473.327
6430	12083	春日野悠	1472.988
6450	12116	竹君	1472.76
6456	12125	Ark	1472.648
6478	12156	森鸟	1472.349
6545	12260	皮皮皮卡丘	1471.671
6560	12284	悠然	1471.504
6621	12386	赢姬天	1470.874
6631	12400	Lockon	1470.732
6642	12414	小扇	1470.651
6661	12441	藤丸立香	1470.461
6704	12516	龙光射斗	1469.948
6753	12594	Zero	1469.383
6764	12615	Ruby	1469.187
6766	12619	Julie	1469.136
6781	12641	狐桑	1469.002
6797	12664	仙曦神月	1468.862
6840	12740	vigola	1468.288
6858	12770	许宝宝	1468.057
6880	12803	琉	1467.8
6895	12831	后藤一里	1467.479
6901	12842	阿尼亚	1467.408
6923	12876	倒霉蛋ag	1467.083
6962	12938	baiyo	1466.426
7008	13020	夜椰	1465.433
7020	13036	Gworm	1465.289
7028	13046	电次	1465.172
7037	13065	honomi	1465.033
7068	13120	水鴴	1464.315
7100	13164	Lukey	1463.892
7104	13172	61papa	1463.789
7125	13206	KAWAKI	1463.274
7131	13215	禄禄	1463.186
7190	13316	嘉嘉	1461.97
7284	13485	UzuMea	1460.136
7301	13512	MuDong	1459.892
7302	13516	大颗粒	1459.869
7305	13519	夏凛	1459.811
7328	13553	kololo	1459.529
7342	13575	烧肉定食	1459.366
7373	13628	星斗	1459.005
7376	13633	郢免魔	1458.993
7389	13649	han	1458.864
7397	13661	阳阳	1458.787
7424	13719	17will	1458.448
7448	13756	lan	1458.286
7461	13779	how	1458.185
7462	13779	果果六斤半	1458.185
7483	13807	梦逍遥	1458.039
7494	13832	小银	1457.915
7503	13848	小青	1457.825
7515	13869	小春	1457.718
7528	13892	MoonON	1457.621
7534	13900	小紫	1457.545
7544	13915	贝塔	1457.461
7565	13950	Hairic	1457.289
7578	13969	DDT	1457.185
7580	13972	Kevin	1457.181
7620	14038	Goku	1456.892
7621	14039	LL.M	1456.889
7636	14064	小玲	1456.766
7704	14184	Alyoya	1456.315
7719	14209	透明火	1456.232
7744	14250	福音	1456.061
7762	14284	阿鸟	1455.935
7777	14301	远吕智	1455.864
7804	14349	小青	1455.679
7807	14352	soul	1455.674
7815	14362	时光清浅	1455.616
7816	14362	月城	1455.616
7832	14392	feifei	1455.516
7837	14404	妲己	1455.477
7855	14432	Arda	1455.395
7857	14436	XYA	1455.377
7876	14465	o小墨o	1455.259
7878	14467	Yor	1455.251
7892	14497	NEZ	1455.113
7895	14500	悠铃喵	1455.108
7916	14538	马平川	1455.004
7935	14577	ders老爷	1454.862
7955	14612	小绿	1454.715
7999	14690	faker	1454.497
8028	14738	被忽略的角色	1454.338
8042	14756	我爱吃酥饼	1454.28
8053	14776	WildV	1454.209
8055	14779	VV	1454.204
8114	14877	稻荷	1453.87
8116	14881	Wally	1453.856
8125	14899	琪琪	1453.794
8140	14917	Shana♪	1453.747
8176	14980	VV381	1453.531
8207	15036	妮露	1453.34
8223	15064	碧翠丝小巴菲	1453.255
8242	15099	白菜	1453.132
8253	15115	大颗粒	1453.058
8285	15171	诺苏	1452.839
8296	15190	bright	1452.792
8304	15206	♥小鱼流月♪	1452.747
8330	15247	Time魔神	1452.594
8332	15250	Ren	1452.556
8345	15268	嘌呤战士	1452.479
8350	15278	吹雪	1452.449
8351	15279	信号光线	1452.443
8355	15285	RaphSS	1452.421
8377	15324	张唯唯	1452.261
8388	15340	萧国栋	1452.189
8392	15345	小智	1452.162
8429	15405	立花宗茂	1451.884
8459	15455	mememe	1451.542
8461	15457	阿伟	1451.536
8462	15460	纲男	1451.51
8489	15513	猫猫	1451.201
8501	15535	菜狗涅槃	1451.091
8512	15552	pp	1450.973
8520	15563	Ace97	1450.892
8558	15627	陆柒	1450.464
8561	15636	小光	1450.36
8579	15663	Ice	1450.135
8604	15697	CARRY	1449.813
8605	15698	Jeff	1449.797
8614	15708	沙煲	1449.694
8628	15735	搞基大王	1449.424
8673	15799	Hannes	1448.82
8678	15805	知否	1448.763
8679	15806	猪猪侠	1448.738
8687	15816	tora	1448.651
8703	15838	梦鸿	1448.465
8709	15847	雷天	1448.317
8735	15890	宇轩	1447.995
8765	15939	宏观宇宙	1447.419
8802	15997	树洞	1446.722
8830	16042	无忌	1446.198
8839	16054	米莉娅	1445.983
8961	16235	梦梦	1443.675
8962	16238	成少	1443.65
8969	16245	宝可梦男同	1443.544
8987	16268	never	1443.279
9005	16296	咕哒檬	1443.08
9008	16301	BBS江城梦	1443.042
9036	16348	暮光闪闪	1442.648
9073	16410	wts	1442.186
9104	16456	渡	1441.701
9128	16494	Azure	1441.395
9132	16500	桑枝	1441.332
9149	16526	Mr.喆	1441.133
9171	16565	宫脇咲良	1440.808
9214	16625	小瑞	1440.378
9215	16626	Novak	1440.367
9253	16678	可颂	1439.868
9256	16682	可可	1439.853
9328	16789	诗歌图	1439.082
9330	16793	Leon	1439.064
9409	16911	筝	1437.968
9414	16924	JinQ	1437.862
9417	16931	melo	1437.801
9423	16943	Hugohu	1437.662
9485	17039	Ken As	1436.67
9486	17039	伊密勒顿布♥	1436.67
9586	17210	抹茶	1434.525
9600	17228	小心肝	1434.319
9603	17233	谢龙起	1434.266
9608	17238	瓦罗佳	1434.182
9701	17376	飞行固拉多	1431.999
9704	17378	街溜子	1431.95
9719	17401	浮将军	1431.582
9725	17410	翾樾	1431.391
9756	17451	鲁鲁修s	1430.648
9767	17464	文一	1430.434
9817	17546	HuntSu	1429.181
9860	17608	小青	1428.269
9957	17740	YounG	1426.43
9997	17791	Alice	1425.684
10047	17863	还有谁不会飞	1424.814
10071	17898	miann	1424.075
10102	17945	cc	1423.413
10112	17958	大猫	1423.231
10116	17962	竹兰老公	1423.184
10199	18088	玟玥	1420.964
10222	18121	Beef	1420.361
10388	18367	小鸡子	1415.196
10396	18377	银杏	1415.029
10494	18527	星之痕	1412.096
10510	18547	大大酱	1411.726
10545	18595	heidi	1410.726
10666	18770	步	1406.007
10721	18849	Kaylak	1403.315
10769	18922	aaashi	1401.392
10789	18955	放纵飘飞	1400.14
10917	19152	Gary	1393.231
10939	19178	l9	1392.569
10954	19196	Rainy	1391.824
10976	19234	西柚	1390.428
10985	19246	槭枫叶曜	1389.993
11041	19326	Mark	1386.437
11065	19359	聪少	1385.035
11142	19469	Linxy	1379.09
11200	19547	韶光似箭	1374.515
11267	19633	沐	1368.711
11322	19702	录谜	1364.126
11390	19791	铃玉	1355.274
11395	19798	烧麦不卖	1354.397
11396	19798	小猪猪	1354.397
11455	19877	巨菌巨菌	1344.101
11710	20204	紫月	1177.252
